coachID,award,year,lgID,note
patrile01c,"First Team All-Star",1930,NHL,NULL
irvindi01c,"Second Team All-Star",1930,NHL,NULL
patrile01c,"First Team All-Star",1931,NHL,NULL
irvindi01c,"Second Team All-Star",1931,NHL,NULL
patrile01c,"First Team All-Star",1932,NHL,NULL
irvindi01c,"Second Team All-Star",1932,NHL,NULL
patrile01c,"First Team All-Star",1933,NHL,NULL
irvindi01c,"Second Team All-Star",1933,NHL,NULL
patrile01c,"First Team All-Star",1934,NHL,NULL
irvindi01c,"Second Team All-Star",1934,NHL,NULL
patrile01c,"First Team All-Star",1935,NHL,NULL
gormato01c,"Second Team All-Star",1935,NHL,NULL
adamsja01c,"First Team All-Star",1936,NHL,NULL
hartce01c,"Second Team All-Star",1936,NHL,NULL
patrile01c,"First Team All-Star",1937,NHL,NULL
rossar01c,"Second Team All-Star",1937,NHL,NULL
rossar01c,"First Team All-Star",1938,NHL,NULL
duttore01c,"Second Team All-Star",1938,NHL,NULL
thomppa01c,"First Team All-Star",1939,NHL,NULL
bouchfr01c,"Second Team All-Star",1939,NHL,NULL
weilaco01c,"First Team All-Star",1940,NHL,NULL
irvindi01c,"Second Team All-Star",1940,NHL,NULL
bouchfr01c,"First Team All-Star",1941,NHL,NULL
thomppa01c,"Second Team All-Star",1941,NHL,NULL
adamsja01c,"First Team All-Star",1942,NHL,NULL
rossar01c,"Second Team All-Star",1942,NHL,NULL
irvindi01c,"First Team All-Star",1943,NHL,NULL
dayha01c,"Second Team All-Star",1943,NHL,NULL
irvindi01c,"First Team All-Star",1944,NHL,NULL
adamsja01c,"Second Team All-Star",1944,NHL,NULL
irvindi01c,"First Team All-Star",1945,NHL,NULL
gottsjo01c,"Second Team All-Star",1945,NHL,NULL
sherofr01c,"Jack Adams",1973,NHL,NULL
pulfobo01c,"Jack Adams",1974,NHL,NULL
cherrdo01c,"Jack Adams",1975,NHL,NULL
bowmasc01c,"Jack Adams",1976,NHL,NULL
krommbo01c,"Jack Adams",1977,NHL,NULL
arboual01c,"Jack Adams",1978,NHL,NULL
quinnpa01c,"Jack Adams",1979,NHL,NULL
berenre01c,"Jack Adams",1980,NHL,NULL
wattto01c,"Jack Adams",1981,NHL,NULL
tessior01c,"Jack Adams",1982,NHL,NULL
murrabr01c,"Jack Adams",1983,NHL,NULL
keenami01c,"Jack Adams",1984,NHL,NULL
sathegl01c,"Jack Adams",1985,NHL,NULL
demerja01c,"Jack Adams",1986,NHL,NULL
demerja01c,"Jack Adams",1987,NHL,NULL
burnspa01c,"Jack Adams",1988,NHL,NULL
murdobo01c,"Jack Adams",1989,NHL,NULL
suttebr01c,"Jack Adams",1990,NHL,NULL
quinnpa01c,"Jack Adams",1991,NHL,NULL
burnspa01c,"Jack Adams",1992,NHL,NULL
lemaija01c,"Jack Adams",1993,NHL,NULL
crawfma01c,"Jack Adams",1994,NHL,NULL
bowmasc01c,"Jack Adams",1995,NHL,NULL
nolante01c,"Jack Adams",1996,NHL,NULL
burnspa01c,"Jack Adams",1997,NHL,NULL
martija02c,"Jack Adams",1998,NHL,NULL
quennjo01c,"Jack Adams",1999,NHL,NULL
barbebi01c,"Jack Adams",2000,NHL,NULL
francbo01c,"Jack Adams",2001,NHL,NULL
lemaija01c,"Jack Adams",2002,NHL,NULL
tortojo01c,"Jack Adams",2003,NHL,NULL
ruffli01c,"Jack Adams",2005,NHL,NULL
vigneal01c,"Jack Adams",2006,NHL,NULL
boudrbr01c,"Jack Adams",2007,NHL,NULL
juliecl01c,"Jack Adams",2008,NHL,NULL
tippeda01c,"Jack Adams",2009,NHL,NULL
bylsmda01c,"Jack Adams",2010,NHL,NULL
hitchke01c,"Jack Adams",2011,NHL,NULL
kelleja01c,Baldwin,1972,WHA,NULL
harribi01c,Baldwin,1973,WHA,NULL
huculsa01c,Schmertz,1974,WHA,NULL
krommbo01c,Schmertz,1975,WHA,NULL
dineebi01c,Schmertz,1976,WHA,NULL
dineebi01c,Schmertz,1977,WHA,NULL
brophjo01c,Schmertz,1978,WHA,NULL
