name,ID,award,year,lgID,note
"1960 U.S. Olympic Hockey Team",NULL,Patrick,2001,NHL,NULL
"1998 U.S. Olympic Women's Hockey Team",NULL,Patrick,1998,NHL,NULL
"Al Arbour",arboual01,Patrick,1991,NHL,NULL
"Alex Delvecchio",delveal01,Patrick,1973,NHL,NULL
"Art Berglund",NULL,Patrick,1991,NHL,NULL
"Art Ross",rossar01,Patrick,1983,NHL,posthumous
"Arthur Wirtz",wirtzar01h,Patrick,1984,NHL,NULL
"Bill Chadwick",chadwbi01h,Patrick,1974,NHL,NULL
"Bill Cleary",NULL,Patrick,1996,NHL,NULL
"Bill Torrey",torrebi01h,Patrick,1982,NHL,NULL
"Bob Fleming",NULL,Patrick,1994,NHL,NULL
"Bob Johnson",johnsbo02c,Patrick,1987,NHL,NULL
"Bob Naegele",NULL,Patrick,2007,NHL,NULL
"Bob Pulford",pulfobo01,Patrick,2010,NHL,NULL
"Bobby Clarke",clarkbo01,Patrick,1979,NHL,NULL
"Bobby Hull",hullbo01,Patrick,1968,NHL,NULL
"Bobby Orr",orrbo01,Patrick,1978,NHL,NULL
"Brian Burke",NULL,Patrick,2007,NHL,NULL
"Brian Leetch",leetcbr01,Patrick,2006,NHL,NULL
"Brian Mullen",mullebr01,Patrick,1994,NHL,NULL
"Bruce McNall",NULL,Patrick,1992,NHL,NULL
"Bruce Norris",norribr01h,Patrick,1975,NHL,NULL
"Bud Poile",poilebu01,Patrick,1988,NHL,NULL
"Cam Neely",neelyca01,Patrick,2009,NHL,NULL
"Cammi Granato",NULL,Patrick,2006,NHL,NULL
"Charles Adams",adamsch01h,Patrick,1966,NHL,posthumous
"Charles L. Crovat",NULL,Patrick,1973,NHL,posthumous
"Charles M. Schulz",NULL,Patrick,1980,NHL,NULL
"Clarence Campbell",campbcl01h,Patrick,1971,NHL,NULL
"Cooney Weiland",weilaco01,Patrick,1971,NHL,NULL
"Craig Patrick",patricr01,Patrick,1999,NHL,NULL
"Dan Kelly",kellyda01,Patrick,1988,NHL,NULL
"Dave Andrews",NULL,Patrick,2009,NHL,NULL
"David Poile",NULL,Patrick,2000,NHL,NULL
