playerID,year,PPA,SHA
actonke01,1988,NULL,1
adamsgr01,1988,1,NULL
adamsgr01,1989,1,NULL
allismi01,1987,5,NULL
archida01,1989,4,NULL
bassebo01,1988,NULL,1
bennibr01,1989,5,NULL
bodgedo01,1988,25,1
bradlbr01,1990,10,NULL
brookbo01,1989,1,2
broteaa01,1989,3,NULL
broteaa01,1990,1,NULL
brownje02,1989,24,NULL
brownro01,1990,10,NULL
bullami01,1988,13,NULL
butchga01,1990,3,2
carpebo01,1988,4,NULL
carsoji01,1989,5,NULL
carsoli01,1987,1,1
charbjo01,1988,1,NULL
chrisda01,1989,7,NULL
ciccadi01,1988,10,1
courtge01,1987,7,NULL
courtru01,1988,2,NULL
coxecr01,1987,1,NULL
creigad01,1988,7,NULL
crossdo01,1990,21,NULL
cullejo01,1990,29,NULL
cunnera01,1989,4,NULL
cyrpa01,1987,1,NULL
dahlqch01,1990,NULL,1
deblolu01,1990,NULL,1
dineego01,1987,2,NULL
dineego01,1988,2,NULL
donnemi01,1987,2,NULL
duguaro01,1987,2,NULL
erickbr01,1987,6,NULL
fentopa01,1990,2,NULL
ferrara01,1990,5,NULL
foligmi01,1990,1,NULL
franclo01,1990,1,1
frasecu01,1987,2,NULL
frycemi01,1988,3,NULL
gartnmi01,1988,9,NULL
gartnmi01,1989,14,1
gingrga01,1987,9,NULL
goulemi01,1989,15,1
grahadi01,1987,7,1
halwado01,1988,1,NULL
hardyma01,1987,10,1
hardyma01,1988,5,NULL
hrdinji01,1990,4,NULL
huberwi01,1987,14,NULL
hullbr01,1987,10,NULL
hunteda01,1987,1,4
hunteda01,1988,NULL,1
huntema01,1990,4,NULL
iafraal01,1990,11,1
johanca01,1988,7,NULL
jonssto01,1988,24,NULL
josepch01,1987,6,NULL
joycebo01,1989,3,NULL
kaspest01,1988,6,2
kennede01,1988,NULL,2
klimape01,1989,11,NULL
konrost01,1988,1,1
kontoch01,1987,6,NULL
krushmi01,1990,3,NULL
kurveto01,1990,15,NULL
larsore01,1988,14,NULL
laughcr01,1987,3,NULL
lawlepa01,1987,3,NULL
lawtobr01,1988,4,NULL
lawtobr01,1989,1,NULL
ledyagr01,1987,5,NULL
ledyagr01,1988,6,NULL
lemiejo01,1989,1,1
libaig01,1988,6,NULL
linseke01,1989,8,NULL
loisecl01,1990,1,1
macdepa01,1989,2,NULL
macivno01,1988,19,NULL
maclebr01,1988,8,NULL
makelmi01,1989,1,NULL
malondo01,1988,2,NULL
manthmo01,1987,15,1
manthmo01,1988,9,NULL
maroima01,1988,3,NULL
mcbeawa01,1988,1,NULL
mcdonhu01,1989,1,NULL
mcintjo01,1990,NULL,2
mckegto01,1989,3,NULL
mckegto01,1990,7,NULL
momesse01,1990,1,NULL
murphla01,1988,22,NULL
murphla01,1990,19,NULL
nichobe01,1989,37,1
norwole01,1990,3,NULL
nylunga01,1988,1,NULL
paslagr01,1990,3,1
pavesji01,1987,1,NULL
pederba01,1989,7,1
pederma01,1990,7,NULL
petitmi01,1987,9,1
petitmi01,1990,16,NULL
picarro02,1989,1,1
playfla01,1988,NULL,1
poulida02,1989,1,1
proppbr01,1989,9,NULL
quinnda01,1989,15,1
quinnda01,1990,18,NULL
ramagro01,1987,19,2
robergo01,1987,3,NULL
rousebo01,1988,NULL,1
ruffli01,1988,1,NULL
ruotsre01,1989,9,NULL
samueul01,1990,NULL,2
sandsto01,1989,20,NULL
sanipev01,1989,2,NULL
sheehne01,1987,1,NULL
simpscr01,1987,10,1
skrikpe01,1990,5,NULL
smaildo01,1990,1,1
stastpe01,1989,23,NULL
tantito01,1989,9,NULL
tantito01,1990,5,NULL
thibagi01,1989,2,NULL
tuckejo01,1989,6,NULL
tuckejo01,1990,1,NULL
vaiveri01,1988,15,NULL
wellsja01,1989,3,2
wilsoca01,1987,9,3
wilsoca01,1988,19,NULL
wilsoca01,1990,4,NULL
ysebapa01,1990,4,1
zezelpe01,1988,17,NULL
zezelpe01,1990,5,1
